district_key,display_name,dcmp_name,dcmp_capacity,wcmp_capacity,dcmp_impact_awards,dcmp_ei_awards,dcmp_ras_awards
2024fma,Mid-Atlantic,District Championship,60,22,2,2,1
2024fin,Indiana,State Championship,38,11,1,1,1
2024fim,Michigan,State Championship,160,86,5,1,2
2024ne,New England,District Championship,96,31,3,2,1
2024ont,Ontario,Provincial Championship,100,23,3,1,1
2025chs,Chesapeake,District Championship,54,17,2,2,1
2025isr,Israel,National Championship,45,10,1,1,1
2025fin,Indiana,State Championship,38,12,1,1,1
2025fim,Michigan,State Championship,160,80,4,1,2
2025fma,Mid-Atlantic,District Championship,60,23,2,2,1
2025ne,New England,District Championship,96,31,3,2,1
2025fnc,North Carolina,State Championship,40,14,1,2,2
2025ont,Ontario,Provincial Championship,100,22,2,1,1
2025pnw,Pacific Northwest,District Championship,50,22,2,2,1
2025pch,Peachtree,State Championship,45,12,1,2,1
2025fsc,South Carolina,State Championship,28,5,1,1,0
2025fit,Texas,State Championship,90,28,2,2,2
2026chs,Chesapeake,District Championship,54,19,2,1,1
2026isr,Israel,National Championship,42,12,1,1,1
2026fin,Indiana,State Championship,38,12,1,2,0
2026fim,Michigan,State Championship,160,83,5,1,2
2026fma,Mid-Atlantic,District Championship,66,23,2,2,1
2026ne,New England,District Championship,100,32,4,2,1
2026fnc,North Carolina,State Championship,50,15,1,2,2
2026ont,Ontario,Provincial Championship,100,21,2,1,1
2026pnw,Pacific Northwest,District Championship,50,21,2,2,1
2026pch,Peachtree,State Championship,45,13,2,2,1
2026fsc,South Carolina,State Championship,32,7,1,1,1
2026fit,Texas,State Championship,90,28,2,2,2
2026win,Wisconsin,District Championship,36,12,1,1,1
