event_size,team_rank,qual_points
10,1,22
10,2,19
10,3,17
10,4,15
10,5,14
10,6,12
10,7,11
10,8,10
10,9,8
10,10,6
11,1,22
11,2,19
11,3,17
11,4,16
11,5,14
11,6,13
11,7,12
11,8,11
11,9,9
11,10,8
11,11,6
12,1,22
12,2,19
12,3,17
12,4,16
12,5,15
12,6,14
12,7,12
12,8,11
12,9,10
12,10,9
12,11,8
12,12,6
13,1,22
13,2,19
13,3,18
13,4,16
13,5,15
13,6,14
13,7,13
13,8,12
13,9,11
13,10,10
13,11,9
13,12,7
13,13,6
14,1,22
14,2,19
14,3,18
14,4,16
14,5,15
14,6,14
14,7,13
14,8,12
14,9,12
14,10,11
14,11,10
14,12,9
14,13,7
14,14,6
15,1,22
15,2,20
15,3,18
15,4,17
15,5,16
15,6,15
15,7,14
15,8,13
15,9,12
15,10,11
15,11,10
15,12,9
15,13,8
15,14,7
15,15,5
16,1,22
16,2,20
16,3,18
16,4,17
16,5,16
16,6,15
16,7,14
16,8,13
16,9,12
16,10,12
16,11,11
16,12,10
16,13,9
16,14,8
16,15,7
16,16,5
17,1,22
17,2,20
17,3,18
17,4,17
17,5,16
17,6,15
17,7,14
17,8,14
17,9,13
17,10,12
17,11,11
17,12,11
17,13,10
17,14,9
17,15,8
17,16,7
17,17,5
18,1,22
18,2,20
18,3,18
18,4,17
18,5,16
18,6,15
18,7,15
18,8,14
18,9,13
18,10,12
18,11,12
18,12,11
18,13,10
18,14,10
18,15,9
18,16,8
18,17,7
18,18,5
19,1,22
19,2,20
19,3,19
19,4,17
19,5,17
19,6,16
19,7,15
19,8,14
19,9,14
19,10,13
19,11,12
19,12,11
19,13,11
19,14,10
19,15,9
19,16,8
19,17,8
19,18,6
19,19,5
20,1,22
20,2,20
20,3,19
20,4,18
20,5,17
20,6,16
20,7,15
20,8,14
20,9,14
20,10,13
20,11,12
20,12,12
20,13,11
20,14,11
20,15,10
20,16,9
20,17,8
20,18,7
20,19,6
20,20,5
21,1,22
21,2,20
21,3,19
21,4,18
21,5,17
21,6,16
21,7,15
21,8,15
21,9,14
21,10,13
21,11,13
21,12,12
21,13,12
21,14,11
21,15,10
21,16,10
21,17,9
21,18,8
21,19,7
21,20,6
21,21,5
22,1,22
22,2,20
22,3,19
22,4,18
22,5,17
22,6,16
22,7,16
22,8,15
22,9,14
22,10,14
22,11,13
22,12,12
22,13,12
22,14,11
22,15,11
22,16,10
22,17,9
22,18,9
22,19,8
22,20,7
22,21,6
22,22,5
23,1,22
23,2,20
23,3,19
23,4,18
23,5,17
23,6,16
23,7,16
23,8,15
23,9,14
23,10,14
23,11,13
23,12,13
23,13,12
23,14,12
23,15,11
23,16,11
23,17,10
23,18,9
23,19,9
23,20,8
23,21,7
23,22,6
23,23,5
24,1,22
24,2,20
24,3,19
24,4,18
24,5,17
24,6,17
24,7,16
24,8,15
24,9,15
24,10,14
24,11,14
24,12,13
24,13,12
24,14,12
24,15,11
24,16,11
24,17,10
24,18,10
24,19,9
24,20,8
24,21,8
24,22,7
24,23,6
24,24,5
25,1,22
25,2,21
25,3,19
25,4,18
25,5,17
25,6,17
25,7,16
25,8,15
25,9,15
25,10,14
25,11,14
25,12,13
25,13,13
25,14,12
25,15,12
25,16,11
25,17,11
25,18,10
25,19,10
25,20,9
25,21,8
25,22,8
25,23,7
25,24,6
25,25,4
26,1,22
26,2,21
26,3,19
26,4,18
26,5,18
26,6,17
26,7,16
26,8,16
26,9,15
26,10,15
26,11,14
26,12,13
26,13,13
26,14,12
26,15,12
26,16,12
26,17,11
26,18,10
26,19,10
26,20,9
26,21,9
26,22,8
26,23,7
26,24,7
26,25,6
26,26,4
27,1,22
27,2,21
27,3,19
27,4,18
27,5,18
27,6,17
27,7,16
27,8,16
27,9,15
27,10,15
27,11,14
27,12,14
27,13,13
27,14,13
27,15,12
27,16,12
27,17,11
27,18,11
27,19,10
27,20,10
27,21,9
27,22,9
27,23,8
27,24,7
27,25,7
27,26,6
27,27,4
28,1,22
28,2,21
28,3,19
28,4,19
28,5,18
28,6,17
28,7,16
28,8,16
28,9,15
28,10,15
28,11,14
28,12,14
28,13,13
28,14,13
28,15,12
28,16,12
28,17,12
28,18,11
28,19,11
28,20,10
28,21,10
28,22,9
28,23,9
28,24,8
28,25,7
28,26,6
28,27,6
28,28,4
29,1,22
29,2,21
29,3,20
29,4,19
29,5,18
29,6,17
29,7,17
29,8,16
29,9,15
29,10,15
29,11,15
29,12,14
29,13,14
29,14,13
29,15,13
29,16,12
29,17,12
29,18,11
29,19,11
29,20,10
29,21,10
29,22,10
29,23,9
29,24,8
29,25,8
29,26,7
29,27,6
29,28,5
29,29,4
30,1,22
30,2,21
30,3,20
30,4,19
30,5,18
30,6,17
30,7,17
30,8,16
30,9,16
30,10,15
30,11,15
30,12,14
30,13,14
30,14,13
30,15,13
30,16,12
30,17,12
30,18,12
30,19,11
30,20,11
30,21,10
30,22,10
30,23,9
30,24,9
30,25,8
30,26,8
30,27,7
30,28,6
30,29,5
30,30,4
31,1,22
31,2,21
31,3,20
31,4,19
31,5,18
31,6,17
31,7,17
31,8,16
31,9,16
31,10,15
31,11,15
31,12,14
31,13,14
31,14,14
31,15,13
31,16,13
31,17,12
31,18,12
31,19,11
31,20,11
31,21,11
31,22,10
31,23,10
31,24,9
31,25,9
31,26,8
31,27,8
31,28,7
31,29,6
31,30,5
31,31,4
32,1,22
32,2,21
32,3,20
32,4,19
32,5,18
32,6,17
32,7,17
32,8,16
32,9,16
32,10,15
32,11,15
32,12,15
32,13,14
32,14,14
32,15,13
32,16,13
32,17,12
32,18,12
32,19,12
32,20,11
32,21,11
32,22,10
32,23,10
32,24,10
32,25,9
32,26,9
32,27,8
32,28,8
32,29,7
32,30,6
32,31,5
32,32,4
33,1,22
33,2,21
33,3,20
33,4,19
33,5,18
33,6,18
33,7,17
33,8,16
33,9,16
33,10,16
33,11,15
33,12,15
33,13,14
33,14,14
33,15,13
33,16,13
33,17,13
33,18,12
33,19,12
33,20,12
33,21,11
33,22,11
33,23,10
33,24,10
33,25,9
33,26,9
33,27,9
33,28,8
33,29,7
33,30,7
33,31,6
33,32,5
33,33,4
34,1,22
34,2,21
34,3,20
34,4,19
34,5,18
34,6,18
34,7,17
34,8,17
34,9,16
34,10,16
34,11,15
34,12,15
34,13,14
34,14,14
34,15,14
34,16,13
34,17,13
34,18,12
34,19,12
34,20,12
34,21,11
34,22,11
34,23,11
34,24,10
34,25,10
34,26,9
34,27,9
34,28,8
34,29,8
34,30,7
34,31,7
34,32,6
34,33,5
34,34,4
35,1,22
35,2,21
35,3,20
35,4,19
35,5,18
35,6,18
35,7,17
35,8,17
35,9,16
35,10,16
35,11,15
35,12,15
35,13,15
35,14,14
35,15,14
35,16,13
35,17,13
35,18,13
35,19,12
35,20,12
35,21,12
35,22,11
35,23,11
35,24,10
35,25,10
35,26,10
35,27,9
35,28,9
35,29,8
35,30,8
35,31,7
35,32,7
35,33,6
35,34,5
35,35,4
36,1,22
36,2,21
36,3,20
36,4,19
36,5,18
36,6,18
36,7,17
36,8,17
36,9,16
36,10,16
36,11,15
36,12,15
36,13,15
36,14,14
36,15,14
36,16,14
36,17,13
36,18,13
36,19,12
36,20,12
36,21,12
36,22,11
36,23,11
36,24,11
36,25,10
36,26,10
36,27,10
36,28,9
36,29,9
36,30,8
36,31,8
36,32,7
36,33,7
36,34,6
36,35,5
36,36,4
37,1,22
37,2,21
37,3,20
37,4,19
37,5,19
37,6,18
37,7,17
37,8,17
37,9,16
37,10,16
37,11,16
37,12,15
37,13,15
37,14,14
37,15,14
37,16,14
37,17,13
37,18,13
37,19,13
37,20,12
37,21,12
37,22,12
37,23,11
37,24,11
37,25,11
37,26,10
37,27,10
37,28,9
37,29,9
37,30,9
37,31,8
37,32,8
37,33,7
37,34,6
37,35,6
37,36,5
37,37,4
38,1,22
38,2,21
38,3,20
38,4,19
38,5,19
38,6,18
38,7,17
38,8,17
38,9,17
38,10,16
38,11,16
38,12,15
38,13,15
38,14,15
38,15,14
38,16,14
38,17,14
38,18,13
38,19,13
38,20,12
38,21,12
38,22,12
38,23,11
38,24,11
38,25,11
38,26,10
38,27,10
38,28,10
38,29,9
38,30,9
38,31,8
38,32,8
38,33,8
38,34,7
38,35,6
38,36,6
38,37,5
38,38,4
39,1,22
39,2,21
39,3,20
39,4,19
39,5,19
39,6,18
39,7,18
39,8,17
39,9,17
39,10,16
39,11,16
39,12,15
39,13,15
39,14,15
39,15,14
39,16,14
39,17,14
39,18,13
39,19,13
39,20,13
39,21,12
39,22,12
39,23,12
39,24,11
39,25,11
39,26,11
39,27,10
39,28,10
39,29,10
39,30,9
39,31,9
39,32,8
39,33,8
39,34,7
39,35,7
39,36,6
39,37,6
39,38,5
39,39,4
40,1,22
40,2,21
40,3,20
40,4,19
40,5,19
40,6,18
40,7,18
40,8,17
40,9,17
40,10,16
40,11,16
40,12,16
40,13,15
40,14,15
40,15,14
40,16,14
40,17,14
40,18,13
40,19,13
40,20,13
40,21,12
40,22,12
40,23,12
40,24,12
40,25,11
40,26,11
40,27,11
40,28,10
40,29,10
40,30,9
40,31,9
40,32,9
40,33,8
40,34,8
40,35,7
40,36,7
40,37,6
40,38,6
40,39,5
40,40,4
41,1,22
41,2,21
41,3,20
41,4,19
41,5,19
41,6,18
41,7,18
41,8,17
41,9,17
41,10,16
41,11,16
41,12,16
41,13,15
41,14,15
41,15,15
41,16,14
41,17,14
41,18,14
41,19,13
41,20,13
41,21,13
41,22,12
41,23,12
41,24,12
41,25,11
41,26,11
41,27,11
41,28,10
41,29,10
41,30,10
41,31,9
41,32,9
41,33,9
41,34,8
41,35,8
41,36,7
41,37,7
41,38,6
41,39,6
41,40,5
41,41,4
42,1,22
42,2,21
42,3,20
42,4,19
42,5,19
42,6,18
42,7,18
42,8,17
42,9,17
42,10,16
42,11,16
42,12,16
42,13,15
42,14,15
