team_key,region
frc4,south
frc22,south
frc294,south
frc399,south
frc589,south
frc597,south
frc599,south
frc687,south
frc691,south
frc696,south
frc702,south
frc812,south
frc867,south
frc968,south
frc973,south
frc980,south
frc1138,south
frc1148,south
frc1159,south
frc1160,south
frc1197,south
frc1388,south
frc1452,south
frc1515,south
frc1538,south
frc1622,south
frc1661,south
frc1759,south
frc1836,south
frc1972,south
frc2102,south
frc2404,south
frc2429,south
frc2485,south
frc2543,south
frc2584,south
frc2637,south
frc2658,south
frc2659,south
frc2710,south
frc2827,south
frc2839,south
frc2984,south
frc3020,south
frc3128,south
frc3255,south
frc3295,south
frc3309,south
frc3328,south
frc3341,south
frc3408,south
frc3473,south
frc3476,south
frc3512,south
frc3647,south
frc3704,south
frc3749,south
frc3759,south
frc3863,south
frc3925,south
frc3952,south
frc3965,south
frc4019,south
frc4079,south
frc4123,south
frc4141,south
frc4160,south
frc4201,south
frc4276,south
frc4322,south
frc4414,south
frc4415,south
frc4419,south
frc4470,south
frc4501,south
frc4619,south
frc4711,south
frc4738,south
frc4919,south
frc4964,south
frc4984,south
frc4999,south
frc5012,south
frc5025,south
frc5089,south
frc5124,south
frc5136,south
frc5137,south
frc5199,south
frc5285,south
frc5474,south
frc5500,south
frc5514,south
frc5669,south
frc5805,south
frc5835,south
frc5851,south
frc5857,south
frc5869,south
frc6000,south
frc6060,south
frc6072,south
frc6220,south
frc6515,south
frc6560,south
frc6658,south
frc6695,south
frc6764,south
frc6885,south
frc6904,south
frc6934,south
frc6995,south
frc7042,south
frc7157,south
frc7230,south
frc7323,south
frc7327,south
frc7415,south
frc7447,south
frc7607,south
frc8006,south
frc8060,south
frc8119,south
frc8521,south
frc8533,south
frc8870,south
frc8891,south
frc8898,south
frc9084,south
frc9271,south
frc9408,south
frc9452,south
frc9471,south
frc9505,south
frc9520,south
frc9573,south
frc9615,south
frc9696,south
frc9730,south
frc9772,south
frc10147,south
frc10166,south
frc10336,south
frc10392,south
frc10586,south
frc10625,south
frc10658,south
frc10936,south
frc11024,south
frc11096,south
frc11459,south
frc8,north
frc100,north
frc114,north
frc115,north
frc192,north
frc199,north
frc253,north
frc254,north
frc581,north
frc604,north
frc649,north
frc668,north
frc670,north
frc701,north
frc751,north
frc766,north
frc840,north
frc841,north
frc846,north
frc852,north
frc971,north
frc972,north
frc1072,north
frc1280,north
frc1323,north
frc1351,north
frc1458,north
frc1671,north
frc1678,north
frc1700,north
frc1854,north
frc1857,north
frc1868,north
frc1967,north
frc2035,north
frc2073,north
frc2135,north
frc2141,north
frc2204,north
frc2288,north
frc2367,north
frc2473,north
frc2489,north
frc2551,north
frc2643,north
frc2813,north
frc2854,north
frc3045,north
frc3189,north
frc3256,north
frc3257,north
frc3482,north
frc3501,north
frc3598,north
frc3669,north
frc3970,north
frc4135,north
frc4159,north
frc4171,north
frc4186,north
frc4255,north
frc4643,north
frc4669,north
frc4698,north
frc4765,north
frc4904,north
frc4973,north
frc4990,north
frc5026,north
frc5027,north
frc5104,north
frc5171,north
frc5274,north
frc5419,north
frc5430,north
frc5458,north
frc5499,north
frc5507,north
frc5700,north
frc5728,north
frc5760,north
frc5817,north
frc5924,north
frc5940,north
frc6036,north
frc6059,north
frc6238,north
frc6305,north
frc6410,north
frc6418,north
frc6506,north
frc6619,north
frc6657,north
frc6662,north
frc6665,north
frc6814,north
frc6822,north
frc6884,north
frc6918,north
frc6962,north
frc6981,north
frc7137,north
frc7245,north
frc7413,north
frc7419,north
frc7528,north
frc7667,north
frc7777,north
frc8016,north
frc8033,north
frc8045,north
frc8048,north
frc8404,north
frc8751,north
frc8768,north
frc8793,north
frc8840,north
frc8852,north
frc9038,north
frc9111,north
frc9114,north
frc9125,north
frc9202,north
frc9400,north
frc9470,north
frc9584,north
frc9706,north
frc10059,north
frc10212,north
frc10221,north
frc10252,north
frc10281,north
frc10339,north
frc10372,north
frc10500,north
frc10615,north
frc10644,north
frc11230,north
frc11243,north
frc11247,north
frc11261,north
frc11274,north
frc11296,north
frc11463,north
frc11501,north
